# step msd_x msd_y msd_z msd_total (Ang^2)
# TimeStep c_msd_Na[1] c_msd_Na[2] c_msd_Na[3] c_msd_Na[4]
0 0 8.2173e-31 1.18329e-30 2.00502e-30
100 0.320076 0.22328 0.344163 0.887518
200 0.460749 0.343425 0.448437 1.25261
300 0.51806 0.462952 0.523178 1.50419
400 0.427518 0.29049 0.430228 1.14824
500 0.540588 0.491285 0.398749 1.43062
600 0.606493 0.43893 0.415685 1.46111
700 0.621561 0.49965 0.503897 1.62511
800 0.58847 0.537258 0.41605 1.54178
900 0.605073 0.716873 0.584985 1.90693
1000 0.669874 0.804121 0.547081 2.02108
1100 0.66321 0.797736 0.671305 2.13225
1200 0.824948 0.742189 0.718373 2.28551
1300 0.828009 0.750012 0.8463 2.42432
1400 0.865062 0.904921 0.667715 2.4377
1500 0.765188 0.788875 0.838036 2.3921
1600 0.77075 0.942803 0.736031 2.44958
1700 1.01131 1.15985 0.968436 3.1396
1800 1.13906 1.31566 1.14705 3.60177
1900 1.03497 1.13999 1.06038 3.23534
2000 0.988804 1.10104 0.839419 2.92927
2100 1.05819 1.11131 1.00434 3.17384
2200 1.07199 1.23581 1.05107 3.35886
2300 0.992567 1.10103 0.998005 3.0916
2400 1.02686 1.11075 0.963223 3.10084
2500 0.97637 1.1374 1.08165 3.19542
2600 1.17765 1.16667 1.07772 3.42203
2700 1.03457 1.29246 1.00535 3.33238
2800 1.15449 1.4573 1.17153 3.78333
2900 1.29791 1.44713 1.36296 4.108
3000 1.4703 1.52588 1.42071 4.41689
3100 1.47574 1.44352 1.39561 4.31487
3200 1.30198 1.59953 1.38541 4.28692
3300 1.48259 1.46445 1.635 4.58203
3400 1.50749 1.45164 1.56197 4.52109
3500 1.4967 1.64311 1.71905 4.85886
3600 1.68276 1.57624 1.65093 4.90994
3700 1.83264 1.8585 1.92649 5.61763
3800 2.06179 2.06554 2.45145 6.57879
3900 2.00334 1.87792 2.01209 5.89335
4000 2.21388 2.18498 2.67459 7.07345
4100 2.19291 2.1197 2.44541 6.75801
4200 2.40875 2.02042 2.50052 6.92969
4300 2.55561 2.22577 2.41502 7.19639
4400 2.68523 2.20844 2.50788 7.40155
4500 2.68941 2.07718 2.68973 7.45632
4600 2.59591 2.54506 2.53163 7.6726
4700 2.6172 2.31736 2.40612 7.34068
4800 2.60445 2.28036 2.37135 7.25616
4900 2.88561 2.26215 2.58572 7.73348
5000 2.75151 2.77569 2.72166 8.24887
5100 2.83842 2.55192 2.5643 7.95465
5200 2.6996 2.72988 2.62955 8.05903
5300 2.88159 2.68618 2.66436 8.23212
5400 2.67095 2.78971 2.66825 8.12891
5500 2.79203 3.11413 2.6595 8.56566
5600 2.88683 3.09648 2.60457 8.58788
5700 3.00424 3.11364 2.49749 8.61536
5800 2.87267 2.78896 2.36424 8.02587
5900 2.72006 2.93221 2.82057 8.47284
6000 2.92638 2.63001 2.52842 8.08481
6100 2.79812 2.75098 2.63609 8.18518
6200 2.93628 3.03541 2.69261 8.6643
6300 2.71426 3.20067 2.63629 8.55122
6400 2.80085 3.38815 2.75627 8.94526
6500 2.929 3.47581 2.81356 9.21837
6600 2.93097 3.52365 2.75318 9.20781
6700 2.90557 3.34676 2.81738 9.06971
6800 2.81009 3.26269 3.01548 9.08825
6900 2.65462 3.38375 2.98908 9.02746
7000 2.88795 3.53619 3.17258 9.59671
7100 2.94309 3.42537 3.26789 9.63635
7200 2.94527 3.32045 3.15226 9.41798
7300 2.92753 3.38874 2.96253 9.27879
7400 2.83691 3.19489 3.05902 9.09082
7500 3.0092 3.20469 2.91728 9.13117
7600 3.04191 3.36607 3.17932 9.58729
7700 2.94683 3.40545 3.37385 9.72613
7800 3.30068 3.4698 3.27246 10.0429
7900 3.17295 3.4817 3.1599 9.81455
8000 3.31104 3.46333 3.14268 9.91704
8100 3.45136 3.7835 3.14771 10.3826
8200 3.23923 3.64347 2.9779 9.86061
8300 3.44535 4.05547 3.17389 10.6747
8400 3.73001 4.18923 3.59544 11.5147
8500 4.15058 3.80305 3.71017 11.6638
8600 3.8595 3.89377 3.54146 11.2947
8700 3.15621 3.88133 3.49281 10.5303
8800 3.32616 4.16265 3.60082 11.0896
8900 3.46884 4.1656 3.63907 11.2735
9000 3.60657 4.29396 3.42951 11.33
9100 3.34462 4.03952 3.63141 11.0156
9200 3.45863 4.16463 3.79606 11.4193
9300 3.51836 4.40573 3.60279 11.5269
9400 3.83122 4.343 3.52947 11.7037
9500 3.6244 4.54232 3.71411 11.8808
9600 3.90706 4.57059 3.49157 11.9692
9700 3.84374 4.56346 3.68723 12.0944
9800 3.74034 4.38993 3.81739 11.9477
9900 4.09435 4.43491 3.84663 12.3759
10000 4.06607 4.07082 3.659 11.7959
10100 4.32532 4.54309 3.2093 12.0777
10200 4.08088 4.58902 3.38114 12.051
10300 4.27383 4.87554 3.77064 12.92
10400 4.40955 4.86909 3.73809 13.0167
10500 4.36655 4.91132 3.77735 13.0552
10600 4.51918 5.16744 4.08198 13.7686
10700 4.34058 5.02068 3.76565 13.1269
10800 4.81605 5.06838 3.84635 13.7308
10900 4.87907 5.56174 4.07117 14.512
11000 5.31219 5.61568 4.02504 14.9529
11100 5.24608 5.6139 4.25893 15.1189
11200 5.058 5.73467 4.37182 15.1645
11300 5.23078 6.03583 4.26813 15.5347
11400 5.24827 5.77021 4.59131 15.6098
11500 5.50969 5.89137 4.80534 16.2064
11600 5.35197 6.16605 4.95408 16.4721
11700 5.5694 6.21343 5.07955 16.8624
11800 5.93868 6.40416 5.38054 17.7234
11900 5.68651 6.25529 5.38053 17.3223
12000 6.19803 6.1672 5.5556 17.9208
12100 6.42827 6.44156 5.89479 18.7646
12200 6.30619 6.57866 6.00811 18.893
12300 5.88798 6.80254 5.77439 18.4649
12400 5.92544 6.57057 5.79787 18.2939
12500 5.78435 7.11671 5.86334 18.7644
12600 5.90461 7.30146 5.6324 18.8385
12700 5.69125 6.88145 5.6796 18.2523
12800 5.89681 7.05521 5.65832 18.6103
12900 5.44487 7.22952 5.67605 18.3504
13000 5.56923 7.23807 5.43967 18.247
13100 5.32447 7.06025 5.44217 17.8269
13200 5.55114 7.36283 5.58196 18.4959
13300 5.60569 7.11185 5.21036 17.9279
13400 5.57295 7.00112 5.32432 17.8984
13500 6.21955 7.19143 5.27209 18.6831
13600 6.03953 7.39724 5.69269 19.1295
13700 5.79062 7.60418 5.69028 19.0851
13800 6.19501 7.4437 5.67637 19.3151
13900 6.43088 7.67984 5.92578 20.0365
14000 6.60076 7.99388 5.93638 20.531
14100 6.27435 8.11297 6.07827 20.4656
14200 6.83653 7.71988 7.01163 21.568
14300 6.99678 7.54973 6.69769 21.2442
14400 7.14511 7.95934 7.11742 22.2219
14500 7.23981 7.97127 6.8186 22.0297
14600 7.41015 8.14384 7.07206 22.6261
14700 7.28289 7.84121 7.12573 22.2498
14800 6.9478 7.78382 7.03495 21.7666
14900 7.09816 7.54743 7.06816 21.7138
15000 7.02809 7.37748 6.75302 21.1586
15100 7.20383 7.26433 7.4306 21.8988
15200 6.92765 8.13019 7.49109 22.5489
15300 7.59615 7.68117 7.12229 22.3996
15400 7.06405 8.584 7.48644 23.1345
15500 7.8303 8.94263 6.99007 23.763
15600 8.28182 8.3978 7.01728 23.6969
15700 8.49534 8.6528 7.00142 24.1496
15800 8.40327 8.17969 6.92308 23.506
15900 8.40039 8.32341 7.37117 24.095
16000 8.64877 8.45858 7.86642 24.9738
16100 8.92205 8.0747 8.02373 25.0205
16200 8.48922 7.83818 7.42012 23.7475
16300 8.96188 7.80684 7.42405 24.1928
16400 8.95018 7.53053 7.20716 23.6879
16500 9.05676 8.29713 7.15617 24.5101
16600 8.92711 8.33028 7.11353 24.3709
16700 8.91388 8.44414 7.6986 25.0566
16800 9.43005 8.42835 7.9952 25.8536
16900 9.7073 8.60623 7.77603 26.0896
17000 9.29418 8.58755 7.41979 25.3015
17100 9.46 9.10173 7.85051 26.4122
17200 9.44675 8.80254 7.48699 25.7363
17300 9.41588 8.83356 7.4291 25.6785
17400 9.20923 8.91698 7.71863 25.8448
17500 8.81191 9.15795 7.7862 25.7561
17600 9.84553 9.18492 8.31765 27.3481
17700 9.87572 9.42405 8.58648 27.8863
17800 9.30431 9.07605 7.82732 26.2077
17900 9.80824 8.30534 7.27544 25.389
18000 9.69949 8.43565 7.50791 25.6431
18100 9.47398 8.56295 8.01358 26.0505
18200 9.94335 9.18877 7.83626 26.9684
18300 10.1469 9.30579 8.13979 27.5924
18400 9.98166 9.62013 8.41777 28.0196
18500 10.3181 9.34509 8.63675 28.3
18600 10.239 9.40511 8.525 28.1691
18700 10.8042 9.85048 8.74857 29.4032
18800 10.3788 9.65601 8.93949 28.9743
18900 9.89232 9.53728 9.04004 28.4696
19000 9.93173 9.79018 9.2952 29.0171
19100 10.2495 9.97689 9.74641 29.9728
19200 10.7318 9.78349 9.21065 29.726
19300 10.8865 9.31028 8.85723 29.054
19400 10.4954 9.78938 9.10409 29.3888
19500 10.5465 10.0417 9.03536 29.6236
19600 10.4649 10.1121 8.90157 29.4786
19700 11.2636 10.8606 8.26918 30.3934
19800 11.4114 10.9834 8.44398 30.8388
19900 11.1174 11.3686 8.73713 31.2231
20000 11.4595 11.0867 9.07316 31.6193
20100 11.6252 11.6356 10.066 33.3268
20200 11.2444 11.651 9.94721 32.8426
20300 10.7519 11.8841 10.2002 32.8362
20400 11.1448 11.6662 10.3536 33.1646
20500 11.3597 11.6486 10.6187 33.627
20600 11.4689 11.3138 10.177 32.9597
20700 11.3938 11.2412 9.86294 32.4979
20800 11.5796 11.6868 10.1852 33.4517
20900 11.9758 11.5953 9.90798 33.479
21000 11.8611 11.1501 9.96499 32.9762
21100 11.8648 11.4045 10.2276 33.4968
21200 11.4314 11.2119 9.66009 32.3034
21300 11.3654 11.5381 9.6343 32.5378
21400 11.402 11.5051 9.5731 32.4801
21500 11.5821 11.8112 10.0173 33.4105
21600 11.5561 12.2268 10.37 34.153
21700 11.5601 12.8266 10.2843 34.671
21800 11.7331 12.1606 11.021 34.9147
21900 11.5413 12.4952 11.0104 35.0469
22000 12.0403 12.462 11.1112 35.6135
22100 12.2529 12.6571 11.316 36.226
22200 12.7009 12.3401 11.1179 36.1589
22300 12.7076 11.9109 10.6479 35.2665
22400 12.4026 12.707 11.1343 36.2438
22500 12.3765 12.2955 10.575 35.247
22600 12.4445 12.3792 10.7337 35.5574
22700 12.2598 12.234 11.3016 35.7954
22800 12.944 12.378 11.1695 36.4915
22900 13.0672 12.405 11.8177 37.2899
23000 13.0317 12.3122 11.9106 37.2544
23100 12.5644 12.8872 12.1896 37.6411
23200 13.165 12.7608 12.4121 38.3379
23300 13.1906 12.9419 12.3678 38.5003
23400 13.6538 13.0136 12.4095 39.0769
23500 12.4092 13.3184 12.5261 38.2537
23600 12.3377 13.4447 13.1458 38.9282
23700 12.2997 13.3468 12.6546 38.3012
23800 13.4236 13.5866 12.9512 39.9614
23900 13.055 13.6573 12.6645 39.3768
24000 12.9071 13.6767 13.046 39.6298
24100 12.9831 14.1852 13.6555 40.8238
24200 13.3531 13.5571 13.6133 40.5235
24300 13.084 13.5179 13.7709 40.3728
24400 12.8439 13.6631 13.8071 40.3142
24500 13.4555 13.2156 13.576 40.2472
24600 13.3951 13.1643 13.7119 40.2713
24700 14.1255 12.6258 14.3638 41.1151
24800 13.8097 13.0054 13.8986 40.7137
24900 13.68 12.949 14.0263 40.6553
25000 13.7243 12.6843 14.6202 41.0287
25100 13.5651 12.4568 14.7601 40.782
25200 13.9099 12.6874 14.6677 41.265
25300 14.0531 12.7654 15.1145 41.9329
25400 14.6897 13.7162 15.1205 43.5264
25500 13.9098 13.2852 14.9538 42.1488
25600 14.6461 13.1323 14.9917 42.77
25700 14.1856 13.0722 15.0826 42.3404
25800 14.1806 14.0476 14.6643 42.8926
25900 14.7345 13.4935 15.1553 43.3833
26000 14.5891 13.5447 15.1727 43.3065
26100 14.9878 13.5648 15.5207 44.0733
26200 14.6103 13.2088 15.1806 42.9997
26300 14.196 13.6787 15.6345 43.5092
26400 14.4336 14.021 15.1794 43.6341
26500 14.7752 14.1169 14.6884 43.5806
26600 13.8634 14.7952 14.4837 43.1422
26700 14.2206 14.1733 14.6185 43.0124
26800 13.8838 14.5293 14.5286 42.9416
26900 14.3998 14.2309 14.7069 43.3376
27000 14.1151 14.3523 15.0266 43.4939
27100 13.6082 14.7664 15.9641 44.3387
27200 14.7828 14.687 15.9697 45.4394
27300 14.6422 14.5226 15.529 44.6937
27400 14.5547 15.459 15.3251 45.3388
27500 14.758 14.6862 14.7038 44.148
27600 14.2137 14.6342 15.6435 44.4914
27700 14.5814 15.0628 15.9286 45.5728
27800 14.2184 14.5547 16.55 45.3231
27900 15.0525 15.0641 16.8077 46.9243
28000 15.0313 15.0892 16.7318 46.8522
28100 14.8199 15.105 16.3779 46.3028
28200 14.7039 15.4792 17.0833 47.2664
28300 15.2882 15.4311 16.2316 46.9509
28400 15.6627 15.0751 16.3976 47.1354
28500 15.7537 15.7682 16.3942 47.9162
28600 15.147 15.2156 16.2263 46.5888
28700 15.6965 15.0348 16.8087 47.54
28800 15.9799 14.6819 16.6419 47.3037
