# step msd_x msd_y msd_z msd_total (Ang^2)
# TimeStep c_msd_Na[1] c_msd_Na[2] c_msd_Na[3] c_msd_Na[4]
0 0 0 8.05296e-31 8.05296e-31
100 0.15197 0.124564 0.139689 0.416223
200 0.14457 0.127243 0.153906 0.425719
300 0.240503 0.140662 0.213797 0.594961
400 0.175194 0.181362 0.208644 0.565199
500 0.213167 0.187124 0.254139 0.65443
600 0.23929 0.221393 0.19221 0.652893
700 0.206908 0.164926 0.228549 0.600382
800 0.266469 0.237762 0.236442 0.740673
900 0.190248 0.194723 0.230133 0.615104
1000 0.222435 0.151567 0.192167 0.566169
1100 0.22053 0.19007 0.24873 0.659331
1200 0.228677 0.205572 0.221032 0.655281
1300 0.307801 0.172027 0.232569 0.712397
1400 0.31974 0.21703 0.311948 0.848719
1500 0.341767 0.228911 0.240262 0.81094
1600 0.262712 0.230857 0.221466 0.715036
1700 0.292622 0.239386 0.290574 0.822582
1800 0.34328 0.324935 0.261967 0.930182
1900 0.280119 0.271585 0.264851 0.816555
2000 0.248623 0.222552 0.254778 0.725953
2100 0.240189 0.188645 0.265277 0.694111
2200 0.228378 0.153479 0.263587 0.645444
2300 0.246261 0.224885 0.254253 0.725398
2400 0.254612 0.186348 0.293263 0.734223
2500 0.276136 0.220629 0.271699 0.768464
2600 0.303157 0.185421 0.294961 0.783539
2700 0.312417 0.19078 0.323857 0.827055
2800 0.353587 0.212712 0.32324 0.889539
2900 0.329964 0.198921 0.339341 0.868225
3000 0.256437 0.192181 0.261964 0.710582
3100 0.339237 0.238379 0.294918 0.872534
3200 0.337905 0.175739 0.216868 0.730512
3300 0.318386 0.191289 0.308105 0.81778
3400 0.365414 0.190407 0.330621 0.886442
3500 0.256936 0.17322 0.296979 0.727135
3600 0.352942 0.185517 0.326508 0.864967
3700 0.309881 0.21039 0.356124 0.876395
3800 0.243908 0.249016 0.330324 0.823248
3900 0.275638 0.21593 0.288888 0.780455
4000 0.283808 0.25707 0.262165 0.803044
4100 0.23692 0.268076 0.231898 0.736895
4200 0.262744 0.235071 0.30756 0.805375
4300 0.281247 0.289211 0.315772 0.886229
4400 0.26805 0.261186 0.344819 0.874055
4500 0.248748 0.219515 0.296976 0.765239
4600 0.235354 0.261928 0.31778 0.815062
4700 0.323348 0.199023 0.298687 0.821058
4800 0.228597 0.166807 0.277272 0.672676
4900 0.309972 0.225926 0.36911 0.905008
5000 0.200958 0.195282 0.203692 0.599931
5100 0.266874 0.217564 0.262524 0.746962
5200 0.248408 0.21224 0.317857 0.778505
5300 0.247381 0.228707 0.318966 0.795054
5400 0.310674 0.244714 0.363196 0.918584
5500 0.263711 0.169529 0.203004 0.636244
5600 0.26279 0.192896 0.335179 0.790865
5700 0.245598 0.260746 0.345806 0.85215
5800 0.244752 0.21181 0.326199 0.782761
5900 0.266347 0.249158 0.253986 0.769491
6000 0.290626 0.215073 0.293799 0.799498
6100 0.252339 0.215361 0.297822 0.765523
6200 0.262186 0.189924 0.320838 0.772947
6300 0.248267 0.173608 0.250044 0.671919
6400 0.269786 0.189193 0.259515 0.718494
6500 0.264342 0.229084 0.312888 0.806315
6600 0.230805 0.198709 0.30656 0.736074
6700 0.22753 0.193886 0.247181 0.668597
6800 0.238799 0.20575 0.253093 0.697642
6900 0.246971 0.240602 0.218931 0.706505
7000 0.277799 0.223614 0.274525 0.775938
7100 0.25148 0.179641 0.294334 0.725454
7200 0.30852 0.186643 0.244282 0.739445
7300 0.340463 0.179412 0.311361 0.831236
7400 0.2307 0.235489 0.231823 0.698012
7500 0.253698 0.268282 0.244915 0.766895
7600 0.307836 0.187836 0.250717 0.746388
7700 0.279872 0.198324 0.26398 0.742176
7800 0.265322 0.192003 0.192526 0.649851
7900 0.283451 0.200211 0.254112 0.737775
8000 0.211383 0.197571 0.210082 0.619036
8100 0.226858 0.174832 0.219479 0.621169
8200 0.228943 0.189473 0.238225 0.656641
8300 0.223643 0.125739 0.218153 0.567535
8400 0.312723 0.201764 0.283663 0.79815
8500 0.286969 0.238086 0.263681 0.788735
8600 0.313931 0.204976 0.321474 0.840382
8700 0.34612 0.223794 0.296159 0.866073
8800 0.365114 0.192286 0.22166 0.77906
8900 0.295886 0.231139 0.274818 0.801843
9000 0.314245 0.253571 0.258058 0.825874
9100 0.278185 0.198018 0.244663 0.720867
9200 0.298615 0.181189 0.240288 0.720092
9300 0.323126 0.203592 0.293664 0.820382
9400 0.272696 0.234728 0.302619 0.810043
9500 0.279602 0.193316 0.25728 0.730198
9600 0.337841 0.200725 0.262636 0.801202
9700 0.271973 0.225154 0.262285 0.759412
9800 0.280591 0.290417 0.302509 0.873517
9900 0.284765 0.245918 0.232281 0.762964
10000 0.226926 0.176011 0.255856 0.658793
10100 0.247477 0.182861 0.258964 0.689302
10200 0.241878 0.145405 0.274446 0.661729
10300 0.310096 0.190354 0.225267 0.725718
10400 0.350121 0.219013 0.335863 0.904998
10500 0.285094 0.323145 0.316235 0.924474
10600 0.30208 0.242773 0.301067 0.84592
10700 0.263759 0.220264 0.257657 0.74168
10800 0.232525 0.26809 0.267432 0.768047
10900 0.255616 0.217241 0.293535 0.766392
11000 0.227073 0.264769 0.261343 0.753186
11100 0.201367 0.257325 0.262079 0.720772
11200 0.238298 0.215821 0.262593 0.716712
11300 0.29102 0.228595 0.224795 0.744411
11400 0.307831 0.219802 0.219773 0.747406
11500 0.249494 0.274999 0.28024 0.804733
11600 0.223331 0.282776 0.253849 0.759956
11700 0.313464 0.273049 0.277716 0.864229
11800 0.312046 0.28418 0.270589 0.866815
11900 0.242917 0.254721 0.240431 0.738069
12000 0.257682 0.228838 0.260628 0.747148
12100 0.217597 0.245555 0.297966 0.761119
12200 0.205377 0.221749 0.258085 0.685211
12300 0.210714 0.23752 0.269982 0.718216
12400 0.219734 0.253084 0.268832 0.741651
12500 0.208152 0.248645 0.243702 0.700499
12600 0.191772 0.14424 0.258255 0.594267
12700 0.281264 0.184357 0.210113 0.675734
12800 0.195853 0.176482 0.212729 0.585063
12900 0.20713 0.240157 0.178208 0.625495
13000 0.213426 0.185744 0.236693 0.635863
13100 0.201472 0.179887 0.216307 0.597666
13200 0.234229 0.18424 0.235992 0.654461
13300 0.217402 0.201575 0.275263 0.69424
13400 0.235931 0.244973 0.30426 0.785163
13500 0.261479 0.17019 0.304889 0.736558
13600 0.175589 0.258874 0.222376 0.656839
13700 0.230373 0.220128 0.198677 0.649178
13800 0.224763 0.232545 0.206482 0.663791
13900 0.26123 0.188116 0.240374 0.68972
14000 0.31817 0.231195 0.276336 0.825701
14100 0.268885 0.282483 0.28274 0.834108
14200 0.257599 0.252076 0.206097 0.715772
14300 0.228749 0.215334 0.291432 0.735515
14400 0.264742 0.215548 0.244684 0.724975
14500 0.286104 0.218109 0.23972 0.743933
14600 0.27456 0.25042 0.259231 0.78421
14700 0.220614 0.250688 0.268983 0.740285
14800 0.220572 0.18721 0.226065 0.633848
14900 0.209924 0.184955 0.258211 0.65309
15000 0.298859 0.18738 0.283832 0.770071
15100 0.298493 0.22588 0.286215 0.810588
15200 0.276969 0.235268 0.256044 0.768282
15300 0.235167 0.210351 0.315258 0.760776
15400 0.22125 0.201435 0.313807 0.736493
15500 0.191205 0.215964 0.292573 0.699743
15600 0.203627 0.198473 0.328637 0.730738
15700 0.33852 0.189475 0.267212 0.795207
15800 0.31492 0.185456 0.25107 0.751447
15900 0.305856 0.197994 0.219146 0.722996
16000 0.228828 0.193238 0.218231 0.640297
16100 0.217804 0.140801 0.238357 0.596963
16200 0.300852 0.256589 0.227532 0.784973
16300 0.333846 0.24396 0.304577 0.882382
16400 0.238582 0.193986 0.227426 0.659995
16500 0.227972 0.224951 0.247827 0.70075
16600 0.178988 0.232353 0.303083 0.714423
16700 0.320287 0.289801 0.287654 0.897742
16800 0.296488 0.220708 0.335792 0.852988
16900 0.252721 0.23258 0.319439 0.80474
17000 0.179234 0.230257 0.281221 0.690712
17100 0.242709 0.224778 0.302704 0.770191
17200 0.231079 0.232909 0.279394 0.743382
17300 0.251651 0.233058 0.272352 0.757061
17400 0.339832 0.220705 0.246521 0.807057
17500 0.244902 0.223966 0.227831 0.696699
17600 0.208493 0.232569 0.273844 0.714906
17700 0.29125 0.235388 0.26541 0.792048
17800 0.263595 0.244143 0.245121 0.752859
17900 0.235174 0.265545 0.264349 0.765069
18000 0.226219 0.262465 0.253982 0.742666
18100 0.23399 0.17723 0.210411 0.621631
18200 0.228743 0.194434 0.269864 0.693042
18300 0.258153 0.224039 0.306691 0.788883
18400 0.291063 0.254309 0.26452 0.809892
18500 0.269577 0.251846 0.301815 0.823237
18600 0.221002 0.195995 0.248963 0.66596
18700 0.249052 0.190067 0.282124 0.721243
18800 0.329558 0.201973 0.24485 0.776381
18900 0.27876 0.186336 0.302558 0.767654
19000 0.215029 0.230403 0.255667 0.701099
19100 0.289001 0.267168 0.269895 0.826064
19200 0.30275 0.207859 0.222098 0.732707
19300 0.301722 0.25025 0.233977 0.785949
19400 0.280611 0.208816 0.288755 0.778182
19500 0.251973 0.242479 0.198621 0.693073
19600 0.29042 0.225984 0.25285 0.769254
19700 0.291262 0.293193 0.279078 0.863533
19800 0.330347 0.228612 0.264854 0.823813
19900 0.194981 0.175846 0.228258 0.599085
20000 0.217809 0.179514 0.19606 0.593383
20100 0.225352 0.196128 0.239533 0.661013
20200 0.276912 0.193691 0.264668 0.735272
20300 0.200254 0.179581 0.253051 0.632885
20400 0.229954 0.213532 0.200413 0.643899
20500 0.220915 0.168539 0.247437 0.636892
20600 0.282366 0.200611 0.290055 0.773032
20700 0.183129 0.20102 0.230069 0.614218
20800 0.21976 0.169443 0.266742 0.655945
20900 0.259353 0.222276 0.241985 0.723613
21000 0.303292 0.229461 0.295026 0.82778
21100 0.352066 0.237585 0.298621 0.888272
21200 0.44946 0.294664 0.324857 1.06898
21300 0.389163 0.322196 0.350155 1.06151
21400 0.377307 0.312958 0.363413 1.05368
21500 0.422357 0.338328 0.430668 1.19135
21600 0.386401 0.336466 0.338642 1.06151
21700 0.339564 0.345774 0.381005 1.06634
21800 0.342873 0.346846 0.387716 1.07744
21900 0.37383 0.343312 0.367841 1.08498
22000 0.343026 0.402153 0.328251 1.07343
22100 0.36936 0.338477 0.304285 1.01212
22200 0.372202 0.37592 0.356939 1.10506
22300 0.338914 0.400815 0.359292 1.09902
22400 0.404868 0.318235 0.372674 1.09578
22500 0.476022 0.323854 0.338876 1.13875
22600 0.475299 0.350658 0.426727 1.25268
22700 0.447096 0.348965 0.394382 1.19044
22800 0.514929 0.360911 0.328936 1.20478
22900 0.500056 0.477161 0.351297 1.32851
23000 0.555223 0.458509 0.414321 1.42805
23100 0.561999 0.4341 0.467383 1.46348
23200 0.566366 0.496828 0.506136 1.56933
23300 0.518713 0.453646 0.536634 1.50899
23400 0.61037 0.411358 0.614864 1.63659
23500 0.50371 0.430651 0.499022 1.43338
23600 0.682099 0.455718 0.483357 1.62117
23700 0.740176 0.473762 0.650482 1.86442
23800 0.730102 0.702314 0.596708 2.02912
23900 0.757602 0.613822 0.68231 2.05373
24000 0.660132 0.632543 0.699238 1.99191
24100 0.744659 0.595446 0.683592 2.0237
24200 0.60675 0.712558 0.735108 2.05442
24300 0.738618 0.607918 0.70998 2.05652
24400 0.706665 0.714922 0.625853 2.04744
24500 0.756764 0.781557 0.557264 2.09558
24600 0.644971 0.744197 0.736728 2.1259
24700 0.576391 0.831576 0.701201 2.10917
24800 0.648366 0.710148 0.746243 2.10476
24900 0.586945 0.778416 0.706455 2.07182
25000 0.637927 0.728419 0.735742 2.10209
25100 0.59664 0.807546 0.709727 2.11391
25200 0.644203 0.778559 0.704484 2.12725
25300 0.628058 0.775116 0.674398 2.07757
25400 0.540119 0.692816 0.77218 2.00511
25500 0.656805 0.827197 0.777048 2.26105
25600 0.59707 0.827564 0.765544 2.19018
25700 0.649423 0.847748 0.768632 2.2658
25800 0.556074 0.765398 0.777554 2.09903
25900 0.718124 0.886754 0.79664 2.40152
26000 0.71115 0.954121 0.850659 2.51593
26100 0.86466 0.849854 0.840294 2.55481
26200 0.751802 0.898336 0.834867 2.485
26300 0.780816 1.02586 0.995545 2.80222
26400 0.766709 0.983119 0.893603 2.64343
26500 0.766592 0.972823 0.925287 2.6647
26600 0.826055 0.966362 0.935189 2.72761
26700 0.676468 0.994269 0.878237 2.54897
26800 0.734378 0.996405 0.948069 2.67885
26900 0.764514 1.0513 1.0028 2.81861
27000 0.779298 1.0932 0.955447 2.82794
27100 0.803808 0.966506 0.951826 2.72214
27200 0.717029 1.0989 0.964655 2.78058
27300 0.851229 1.08357 0.97541 2.91021
27400 0.76144 1.04181 0.919451 2.7227
27500 0.718072 1.06201 1.06362 2.8437
27600 0.812773 1.02298 0.861537 2.69729
27700 0.685476 0.943464 0.881477 2.51042
27800 0.769561 0.970792 0.872951 2.6133
27900 0.831835 0.954584 0.956856 2.74327
28000 0.936917 0.875718 0.957059 2.76969
28100 0.849404 0.965546 0.954013 2.76896
28200 0.80643 1.02061 0.857097 2.68414
28300 0.845135 1.05784 0.946545 2.84952
28400 0.822617 1.01874 0.879931 2.72129
28500 0.701857 0.973393 0.88721 2.56246
28600 0.738578 0.950223 0.855876 2.54468
28700 0.765546 0.928717 0.845698 2.53996
28800 0.777123 0.966582 0.874707 2.61841
28900 0.67244 0.95991 0.836722 2.46907
29000 0.728213 1.01276 0.792905 2.53388
29100 0.803487 1.03151 0.951598 2.78659
29200 0.900749 0.908132 0.921093 2.72997
29300 0.773993 0.971452 0.773121 2.51857
29400 0.633569 0.886637 0.849921 2.37013
29500 0.670924 1.05755 0.796522 2.52499
29600 0.661774 1.06032 0.849879 2.57197
29700 0.741201 1.08435 0.804085 2.62963
29800 0.755515 0.966095 0.806114 2.52772
29900 0.717508 0.946753 0.931703 2.59596
30000 0.77541 0.945548 0.934293 2.65525
30100 0.709541 1.0215 0.983433 2.71448
30200 0.841825 1.12837 0.920019 2.89021
30300 0.760063 1.08741 0.915254 2.76272
30400 0.73846 1.15835 0.824873 2.72168
30500 0.739974 1.05149 0.785969 2.57743
30600 0.706082 1.08362 0.834937 2.62464
30700 0.861572 1.14364 0.713569 2.71878
30800 0.841341 1.02191 0.832167 2.69542
30900 0.797639 1.05911 0.839832 2.69658
31000 0.843148 1.08688 1.05299 2.98302
31100 0.764714 0.986585 0.883928 2.63523
31200 0.772739 1.06831 0.963416 2.80446
31300 0.879778 1.09225 1.03681 3.00884
31400 0.770823 1.1217 0.985697 2.87822
31500 0.785001 1.16763 0.964218 2.91685
31600 0.860493 1.25047 0.878088 2.98905
31700 1.04261 1.30143 0.892379 3.23642
31800 1.01783 1.14204 0.891897 3.05177
31900 0.882087 1.19896 0.978146 3.05919
32000 0.897998 1.04647 0.949984 2.89445
32100 0.881649 1.01288 0.897863 2.7924
32200 0.748486 1.08992 0.840282 2.67869
32300 0.706982 0.981188 0.802421 2.49059
32400 0.830899 1.01967 0.959445 2.81002
32500 0.779441 1.08378 0.693155 2.55638
32600 0.683774 1.03766 0.745668 2.4671
32700 0.734809 0.988757 0.891681 2.61525
32800 0.633951 0.995965 0.776566 2.40648
32900 0.675151 1.02497 0.801449 2.50157
33000 0.757706 1.01246 0.921288 2.69145
33100 0.749544 1.00031 1.04513 2.79498
33200 0.706672 0.892269 0.863151 2.46209
33300 0.778992 0.891736 0.849387 2.52012
33400 0.681325 0.996105 0.895904 2.57333
33500 0.640468 1.08877 0.883038 2.61227
33600 0.677551 1.00014 0.90936 2.58705
33700 0.773082 1.04057 0.733675 2.54733
33800 0.693325 0.913041 0.84 2.44637
33900 0.704217 1.06673 0.962073 2.73302
34000 0.728305 0.962027 0.860731 2.55106
34100 0.735357 0.984866 0.898334 2.61856
34200 0.789923 1.00798 0.837795 2.63569
34300 0.731077 1.04014 0.820942 2.59216
34400 0.67098 0.993414 0.944083 2.60848
34500 0.761862 0.939742 0.958153 2.65976
34600 0.736376 0.986203 0.900908 2.62349
34700 0.715791 1.02457 0.964831 2.70519
34800 0.705656 1.04732 0.824733 2.57771
34900 0.851725 1.12351 0.782235 2.75747
35000 0.795396 0.962793 0.941422 2.69961
35100 0.79289 1.12837 0.870339 2.7916
35200 0.847593 1.07713 0.876859 2.80158
35300 0.79674 1.01372 0.910584 2.72104
35400 0.752088 1.12108 0.785249 2.65841
