# step msd_x msd_y msd_z msd_total (Ang^2)
# TimeStep c_msd_Na[1] c_msd_Na[2] c_msd_Na[3] c_msd_Na[4]
0 7.88861e-31 0 0 7.88861e-31
100 0.12328 0.124368 0.13642 0.384068
200 0.178054 0.166364 0.167774 0.512192
300 0.200505 0.194475 0.172048 0.567028
400 0.15826 0.181377 0.15406 0.493698
500 0.147061 0.120177 0.171517 0.438756
600 0.142737 0.158518 0.232134 0.53339
700 0.218489 0.182512 0.198728 0.599728
800 0.217005 0.190558 0.193791 0.601355
900 0.245558 0.211851 0.241867 0.699276
1000 0.21365 0.194201 0.149899 0.55775
1100 0.251248 0.204628 0.226509 0.682386
1200 0.20169 0.207138 0.229981 0.63881
1300 0.224951 0.261391 0.249771 0.736112
1400 0.206258 0.247825 0.183318 0.637401
1500 0.194479 0.215358 0.199992 0.609829
1600 0.259102 0.229506 0.178192 0.6668
1700 0.20585 0.199754 0.152907 0.558511
1800 0.156233 0.209707 0.238947 0.604887
1900 0.184989 0.255846 0.221376 0.66221
2000 0.211747 0.231393 0.18587 0.62901
2100 0.216683 0.209963 0.235737 0.662382
2200 0.142017 0.181065 0.18786 0.510942
2300 0.161391 0.180825 0.213372 0.555588
2400 0.185784 0.184627 0.208396 0.578808
2500 0.184959 0.198594 0.180311 0.563864
2600 0.203501 0.232337 0.21445 0.650287
2700 0.156532 0.219931 0.189928 0.566391
2800 0.216505 0.198022 0.157555 0.572082
2900 0.202847 0.171286 0.218493 0.592626
3000 0.180885 0.194132 0.200391 0.575408
3100 0.114675 0.180895 0.174982 0.470552
3200 0.164275 0.15502 0.204004 0.523299
3300 0.235435 0.212592 0.185236 0.633263
3400 0.239275 0.180205 0.229434 0.648914
3500 0.192855 0.205104 0.205706 0.603665
3600 0.251946 0.189941 0.220502 0.662389
3700 0.216321 0.188256 0.19838 0.602957
3800 0.20123 0.199935 0.25031 0.651475
3900 0.220643 0.188835 0.220409 0.629887
4000 0.264977 0.219705 0.323664 0.808346
4100 0.21977 0.228555 0.202066 0.650391
4200 0.187487 0.169536 0.156241 0.513265
4300 0.195942 0.18263 0.167958 0.54653
4400 0.183031 0.193242 0.212792 0.589065
4500 0.199318 0.199527 0.209394 0.608239
4600 0.195021 0.212191 0.17714 0.584353
4700 0.154755 0.169566 0.155554 0.479875
4800 0.172616 0.198138 0.169398 0.540152
4900 0.192991 0.199477 0.236727 0.629195
5000 0.193272 0.155151 0.193878 0.542301
5100 0.256689 0.153723 0.201016 0.611427
5200 0.228638 0.233128 0.193606 0.655372
5300 0.230977 0.187701 0.194771 0.613449
5400 0.236068 0.248008 0.257025 0.741102
5500 0.24392 0.264583 0.212809 0.721312
5600 0.242815 0.182262 0.280559 0.705636
5700 0.266115 0.238277 0.267419 0.771811
5800 0.270513 0.233753 0.201053 0.705319
5900 0.226984 0.201467 0.218785 0.647235
6000 0.273472 0.216209 0.265856 0.755537
6100 0.215938 0.201214 0.203828 0.62098
6200 0.23599 0.189398 0.218548 0.643937
6300 0.251205 0.23687 0.295614 0.783689
6400 0.254398 0.197802 0.24234 0.69454
6500 0.233375 0.239339 0.228393 0.701107
6600 0.358631 0.216426 0.201576 0.776633
6700 0.266397 0.19663 0.224938 0.687965
6800 0.267522 0.267788 0.258649 0.793959
6900 0.248648 0.205127 0.251609 0.705384
7000 0.178435 0.175316 0.181556 0.535306
7100 0.205627 0.202761 0.191183 0.599571
7200 0.200606 0.186325 0.200613 0.587545
7300 0.26051 0.234994 0.205347 0.700852
7400 0.209556 0.161454 0.177527 0.548537
7500 0.241745 0.195263 0.284312 0.72132
7600 0.259899 0.226545 0.18123 0.667674
7700 0.204965 0.198608 0.221387 0.624961
7800 0.204162 0.182317 0.229913 0.616391
7900 0.191223 0.173599 0.19171 0.556532
8000 0.166414 0.182779 0.20421 0.553402
8100 0.218398 0.241868 0.259285 0.71955
8200 0.228524 0.232481 0.252399 0.713404
8300 0.210111 0.216023 0.225354 0.651488
8400 0.214733 0.225654 0.229604 0.66999
8500 0.290589 0.227539 0.262307 0.780435
8600 0.312089 0.237268 0.169777 0.719134
8700 0.218829 0.205462 0.22458 0.64887
8800 0.231367 0.188794 0.211723 0.631883
8900 0.225861 0.25797 0.225778 0.709609
9000 0.296941 0.198299 0.243257 0.738497
9100 0.259301 0.210172 0.212652 0.682124
9200 0.237274 0.173796 0.250505 0.661575
9300 0.263117 0.239022 0.176978 0.679117
9400 0.325297 0.195376 0.237012 0.757686
9500 0.234799 0.225296 0.200391 0.660486
9600 0.259565 0.211416 0.211932 0.682913
9700 0.298026 0.22746 0.218581 0.744068
9800 0.244644 0.18334 0.170862 0.598846
9900 0.250153 0.184507 0.194539 0.629199
10000 0.200885 0.17873 0.185449 0.565064
10100 0.209703 0.188241 0.206318 0.604263
10200 0.191075 0.159338 0.168731 0.519144
10300 0.259478 0.179483 0.207889 0.64685
10400 0.209623 0.150237 0.191464 0.551325
10500 0.233443 0.207918 0.189137 0.630498
10600 0.163102 0.180932 0.181014 0.525048
10700 0.225553 0.191643 0.185618 0.602814
10800 0.213843 0.24516 0.2024 0.661402
10900 0.213977 0.241687 0.154396 0.61006
11000 0.18184 0.228144 0.174384 0.584369
11100 0.209299 0.224534 0.193065 0.626898
11200 0.191477 0.231533 0.175796 0.598806
11300 0.147469 0.21027 0.155001 0.51274
11400 0.173802 0.243751 0.172607 0.59016
11500 0.200182 0.211416 0.171713 0.583311
11600 0.210334 0.203552 0.159418 0.573304
11700 0.226178 0.195378 0.166176 0.587731
11800 0.220843 0.26851 0.169756 0.659109
11900 0.258681 0.267301 0.234888 0.76087
12000 0.21946 0.226397 0.199794 0.645651
12100 0.195081 0.215793 0.173675 0.584549
12200 0.214458 0.233561 0.194337 0.642356
12300 0.157459 0.199622 0.167465 0.524547
12400 0.242322 0.209848 0.210929 0.663099
12500 0.212495 0.218346 0.171782 0.602624
12600 0.198532 0.196435 0.235691 0.630659
12700 0.176489 0.212467 0.167941 0.556898
12800 0.195417 0.226386 0.166164 0.587968
12900 0.207708 0.225908 0.217582 0.651198
13000 0.194715 0.218447 0.171582 0.584745
13100 0.203273 0.215029 0.152571 0.570872
13200 0.201351 0.214442 0.180256 0.596049
13300 0.237034 0.21331 0.197492 0.647836
13400 0.250226 0.202496 0.144282 0.597004
13500 0.220174 0.194458 0.140783 0.555415
13600 0.208425 0.245235 0.185917 0.639577
13700 0.263163 0.204909 0.167419 0.635491
13800 0.257486 0.284472 0.167668 0.709626
13900 0.28041 0.237166 0.189676 0.707252
14000 0.283342 0.279289 0.214602 0.777234
14100 0.292411 0.283761 0.235226 0.811399
14200 0.227999 0.222112 0.249267 0.699378
14300 0.223516 0.266776 0.184695 0.674987
14400 0.27526 0.260706 0.207384 0.74335
14500 0.231865 0.2631 0.183849 0.678813
14600 0.263597 0.236984 0.221006 0.721586
14700 0.30592 0.231739 0.262337 0.799996
14800 0.242394 0.250842 0.243885 0.737121
14900 0.178069 0.281874 0.208003 0.667945
15000 0.173703 0.234334 0.233325 0.641361
15100 0.207108 0.23786 0.201239 0.646207
15200 0.182173 0.223597 0.198435 0.604205
15300 0.177924 0.243286 0.148365 0.569574
15400 0.153058 0.228851 0.24129 0.6232
15500 0.237986 0.270077 0.183683 0.691747
15600 0.214953 0.292529 0.18864 0.696122
15700 0.216717 0.265663 0.234528 0.716908
15800 0.183079 0.253526 0.152075 0.588681
15900 0.217398 0.239124 0.18807 0.644592
16000 0.207192 0.248616 0.186818 0.642627
16100 0.241869 0.274151 0.194011 0.710031
16200 0.256215 0.307203 0.204911 0.768329
16300 0.263258 0.240604 0.233892 0.737754
16400 0.22545 0.234739 0.201217 0.661406
16500 0.211674 0.234918 0.19162 0.638212
16600 0.21097 0.244665 0.200939 0.656573
16700 0.235678 0.221682 0.247402 0.704761
16800 0.26655 0.201433 0.19064 0.658623
16900 0.213667 0.232967 0.267949 0.714584
17000 0.198988 0.233139 0.193437 0.625563
17100 0.201604 0.219099 0.214059 0.634762
17200 0.207193 0.214975 0.251136 0.673305
17300 0.217416 0.240874 0.23669 0.694979
17400 0.229025 0.192822 0.245232 0.66708
17500 0.24686 0.237705 0.228578 0.713142
17600 0.244507 0.224479 0.241351 0.710337
17700 0.237802 0.251459 0.225707 0.714968
17800 0.227501 0.220791 0.214654 0.662946
17900 0.223646 0.273769 0.248569 0.745984
18000 0.266121 0.23291 0.224864 0.723895
18100 0.20186 0.267773 0.241167 0.710801
18200 0.221388 0.295625 0.191177 0.70819
18300 0.188987 0.268941 0.243013 0.700941
18400 0.240971 0.280964 0.194574 0.71651
18500 0.222428 0.289834 0.240877 0.753139
18600 0.226171 0.293337 0.222834 0.742342
18700 0.26696 0.281514 0.241809 0.790282
18800 0.266562 0.303051 0.199638 0.769251
18900 0.220279 0.248355 0.26393 0.732564
19000 0.278862 0.26459 0.262326 0.805778
19100 0.254478 0.238719 0.189024 0.682221
19200 0.229021 0.308344 0.240615 0.77798
19300 0.256016 0.257713 0.218203 0.731932
19400 0.212313 0.242971 0.23729 0.692575
19500 0.249809 0.244486 0.255662 0.749957
19600 0.254399 0.298718 0.239777 0.792893
19700 0.250358 0.250478 0.19748 0.698316
19800 0.32286 0.290509 0.228195 0.841564
19900 0.281183 0.253816 0.278918 0.813917
20000 0.267818 0.28131 0.267514 0.816643
20100 0.267899 0.328916 0.234907 0.831722
20200 0.236079 0.26465 0.248948 0.749677
20300 0.295016 0.32246 0.240052 0.857528
20400 0.230708 0.275372 0.233077 0.739157
20500 0.242128 0.261301 0.253297 0.756726
20600 0.260036 0.363371 0.200687 0.824093
20700 0.212336 0.329761 0.200553 0.74265
20800 0.290071 0.329946 0.18096 0.800976
20900 0.257348 0.305546 0.198974 0.761868
21000 0.298044 0.358991 0.193831 0.850867
