# step msd_x msd_y msd_z msd_total (Ang^2)
# TimeStep c_msd_Na[1] c_msd_Na[2] c_msd_Na[3] c_msd_Na[4]
13600 2.59395 2.49979 2.87122 7.96497
13700 2.55792 2.50808 2.88268 7.94868
13800 2.36445 2.59637 2.7091 7.66992
13900 2.63179 2.59354 2.54217 7.76751
14000 2.94512 2.49083 2.91 8.34595
14100 2.95305 2.70082 3.0881 8.74196
14200 3.05232 2.5704 2.9679 8.59062
14300 2.93374 2.40433 3.01365 8.35172
14400 3.01819 2.41577 2.83266 8.26662
14500 2.86812 2.38448 2.80562 8.05821
14600 2.88678 2.47496 3.01781 8.37954
14700 2.81798 2.61733 2.97619 8.4115
14800 2.68588 2.48892 2.83307 8.00787
14900 2.77904 2.51031 2.93497 8.22432
15000 2.76862 2.62097 2.84961 8.2392
15100 2.69956 2.49993 3.07151 8.27099
15200 2.65184 2.44496 3.02912 8.12592
15300 2.94882 2.46004 2.69627 8.10513
15400 2.92087 2.46186 2.63817 8.02091
15500 2.95951 2.74101 2.97635 8.67687
15600 2.60929 2.87036 2.99257 8.47222
15700 2.85899 2.82509 2.82568 8.50976
15800 2.87858 2.72834 2.95199 8.55891
15900 2.89104 2.61932 2.88224 8.3926
16000 2.95156 2.65094 2.97567 8.57818
16100 2.7468 2.63761 2.96029 8.3447
16200 2.93154 2.77843 3.1677 8.87767
16300 2.99908 2.71835 3.30495 9.02238
16400 2.82518 2.87553 3.20154 8.90225
16500 2.75675 2.79427 3.30654 8.85756
16600 2.60772 2.76807 3.38907 8.76487
16700 2.91941 2.72115 3.31559 8.95615
16800 3.10585 2.87481 3.50532 9.48599
16900 3.40067 2.7399 3.37318 9.51375
17000 3.39373 2.67505 3.44879 9.51757
17100 3.31369 2.95254 3.13394 9.40016
17200 3.23533 2.89662 3.23743 9.36938
17300 3.36541 2.9875 3.60971 9.96263
17400 3.48626 2.78657 3.52827 9.8011
17500 3.42184 2.77192 3.26467 9.45842
17600 3.59761 2.94305 3.37914 9.9198
17700 3.43092 2.88173 3.57521 9.88787
17800 3.41903 2.66026 3.43926 9.51854
17900 3.64349 2.51344 3.41858 9.57551
18000 3.50769 2.47784 3.44772 9.43324
18100 3.58986 2.77149 3.59666 9.95801
18200 3.58659 2.56798 3.41326 9.56783
18300 3.39296 2.76791 3.38103 9.5419
18400 3.57598 2.87911 3.37619 9.83128
18500 3.5287 3.07936 3.47481 10.0829
18600 3.29694 2.86165 3.54319 9.70178
18700 3.68967 2.76296 3.4206 9.87322
18800 3.42069 2.87248 3.33918 9.63234
18900 3.56033 2.66641 3.27319 9.49993
19000 3.43915 2.83707 3.15825 9.43448
19100 3.37073 2.77523 3.25226 9.39823
19200 3.30378 2.91755 3.40925 9.63058
19300 3.43674 2.98955 3.54897 9.97527
19400 3.58991 2.81154 3.38912 9.79057
19500 3.28696 2.87988 3.37082 9.53766
19600 3.25015 2.76118 3.37392 9.38525
19700 3.27136 2.8165 3.33106 9.41892
19800 3.45886 2.94881 3.39267 9.80034
19900 3.49276 2.99026 3.21353 9.69655
20000 3.50667 2.72682 3.67517 9.90866
20100 3.37643 2.69318 3.39938 9.469
20200 3.58752 2.96574 3.22971 9.78296
20300 3.52759 2.71304 3.09298 9.33361
20400 3.46696 2.76309 3.1736 9.40365
20500 3.21929 2.64137 3.27997 9.14063
20600 3.32708 2.80022 3.21299 9.34029
20700 3.48846 2.73139 3.44308 9.66293
20800 3.37247 2.78793 3.34466 9.50506
20900 3.89413 2.8117 3.50843 10.2143
21000 3.92859 2.89275 3.41669 10.238
21100 4.06923 2.9089 3.73046 10.7086
21200 4.08911 2.87204 3.63295 10.5941
21300 4.17332 2.95575 3.74909 10.8782
21400 3.87766 2.94334 3.86139 10.6824
21500 3.94966 2.7239 3.61363 10.2872
21600 3.33315 2.66756 3.81354 9.81424
21700 3.74616 2.77701 3.74435 10.2675
21800 3.59049 2.84907 3.5667 10.0063
21900 3.90158 2.87312 3.81465 10.5893
22000 3.88416 2.72576 3.81012 10.42
22100 4.11273 3.31585 3.77771 11.2063
22200 4.16067 3.14798 3.88406 11.1927
22300 4.50992 3.03239 3.58809 11.1304
22400 4.3316 2.85817 3.65814 10.8479
22500 4.29257 2.91029 3.7555 10.9584
22600 4.54666 2.92832 3.89792 11.3729
22700 4.53672 3.15346 3.88617 11.5764
22800 4.11494 3.02666 3.93572 11.0773
22900 4.3071 2.93448 4.06362 11.3052
23000 4.1588 3.01953 4.33453 11.5129
23100 4.64721 3.27823 4.25667 12.1821
23200 4.49935 3.53654 4.30418 12.3401
23300 4.57152 3.4184 4.46301 12.4529
23400 4.82918 3.41026 4.59511 12.8346
23500 4.83829 3.37244 4.59479 12.8055
23600 4.58762 3.38311 4.79403 12.7648
23700 4.72174 3.4332 4.71689 12.8718
23800 4.70044 3.79303 4.89955 13.393
23900 4.81854 3.94362 4.7859 13.5481
24000 4.8839 3.61316 5.06464 13.5617
24100 4.5783 3.46313 4.66389 12.7053
24200 4.72605 3.48003 4.90059 13.1067
